baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-10-26 00:00:00,전라북도,10.0,9.0,1593742,1580862.0,1593732,1580853.0,9992,30.0,1285258.0,1285228.0
2022-10-26 00:00:00,충청남도,8.0,7.0,1901056,1883639.0,1901048,1883632.0,9991,61.0,1478367.0,1478306.0
2022-10-26 00:00:00,충청북도,5.0,9.0,1430479,1418019.0,1430474,1418010.0,9990,25.0,1107797.0,1107772.0
2022-10-26 00:00:00,강원도,5.0,12.0,1351441,1340213.0,1351436,1340201.0,9989,49.0,1064224.0,1064175.0
2022-10-25 00:00:00,대전광역시,2.0,7.0,1245606,1233499.0,1245604,1233492.0,9968,81.0,908551.0,908470.0
2022-10-25 00:00:00,울산광역시,5.0,7.0,968456,959193.0,968451,959186.0,9967,47.0,720307.0,720260.0
2022-10-25 00:00:00,광주광역시,1.0,7.0,1262330,1250890.0,1262329,1250883.0,9966,46.0,968866.0,968820.0
2022-10-25 00:00:00,인천광역시,18.0,14.0,2573082,2548887.0,2573064,2548873.0,9965,181.0,1912776.0,1912595.0
2022-10-25 00:00:00,대구광역시,11.0,10.0,2018813,1996005.0,2018802,1995995.0,9964,102.0,1404377.0,1404275.0
2022-10-25 00:00:00,부산광역시,26.0,10.0,2880042,2851444.0,2880016,2851434.0,9963,199.0,2138892.0,2138693.0
2022-10-25 00:00:00,서울특별시,49.0,55.0,8337616,8259854.0,8337567,8259799.0,9962,812.0,6070594.0,6069782.0
2022-10-25 00:00:00,전국,239.0,238.0,45119285,44688529.0,45119046,44688291.0,9961,2694.0,33642653.0,33639959.0
